index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,Tempo_Abertura_A_Isolador,I_B_Isolador,Tempo_B_Isolador,Tempo_Abertura_B_Isolador,I_C_Isolador,Tempo_C_Isolador,Tempo_Abertura_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,Tempo_Abertura_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,Tempo_Abertura_B1_Isolador,I_C1_Isolador,Tempo_C1_Isolador,Tempo_Abertura_C1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,Tempo_Abertura_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor,Tempo_Abertura_B_Consumidor,I_C_Consumidor,Tempo_C_Consumidor,Tempo_Abertura_C_Consumidor
71,6,11,0,Inf,Inf,0,Inf,Inf,6.06517,44.1151,1.0774,0,Inf,Inf,0,Inf,Inf,5.87156,49.022,1.0764,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
72,6,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
73,7,1,52.3617,0.284828,1.0724,53.1098,0.275426,1.0709,51.88,0.291132,1.071,51.7869,0.292374,1.0737,53.0197,0.276535,1.0713,52.5442,0.282492,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
74,7,2,52.3616,0.284829,1.0724,53.1097,0.275428,1.0709,51.88,0.291132,1.071,51.7868,0.292374,1.0737,53.0196,0.276537,1.0713,52.5442,0.282492,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
75,7,3,52.6004,0.281778,1.0724,21.0451,2.72524,1.0726,32.3268,0.914928,1.0736,48.9243,0.334667,1.0728,42.3256,0.473643,1.0723,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
76,7,4,52.6061,0.281706,1.0724,21.2914,2.6434,1.0726,32.1401,0.928148,1.0737,48.8106,0.336526,1.0728,42.4596,0.470045,1.0723,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
77,7,5,20.4825,2.92652,1.077,32.0889,0.931817,1.0712,51.88,0.291132,1.071,41.6026,0.493764,1.0714,0,Inf,Inf,48.3837,0.343647,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
78,7,6,20.6652,2.85888,1.077,31.9476,0.942061,1.0713,51.88,0.291132,1.071,41.6989,0.491012,1.0714,0,Inf,Inf,48.2954,0.345147,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
79,7,7,32.4345,0.907422,1.0717,52.8604,0.27851,1.0709,21.1176,2.70077,1.0714,0,Inf,Inf,49.1477,0.331055,1.0711,42.5377,0.467968,1.0709,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
80,7,8,32.2439,0.920764,1.0717,52.8547,0.278581,1.0709,21.3571,2.62214,1.0715,0,Inf,Inf,49.0253,0.333027,1.0711,42.6609,0.464716,1.071,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
81,7,9,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
82,7,10,0,Inf,Inf,9.16954,30.2839,1.0796,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,8.93501,32.9827,1.087,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
83,7,11,0,Inf,Inf,0,Inf,Inf,8.85897,33.931,1.0842,0,Inf,Inf,0,Inf,Inf,8.622,37.1457,1.0855,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
84,7,12,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
85,8,1,61.2131,0.188315,1.0734,62.3301,0.180789,1.0717,60.6629,0.1922,1.0721,60.4686,0.193602,1.0749,62.1394,0.182041,1.0722,61.599,0.185661,1.0716,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
86,8,2,61.213,0.188316,1.0734,62.33,0.18079,1.0717,60.6629,0.1922,1.0721,60.4685,0.193602,1.0749,62.1393,0.182042,1.0722,61.599,0.185662,1.0716,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
87,8,3,61.5812,0.185783,1.0734,25.1207,1.86546,1.0743,37.9302,0.593286,1.075,57.2446,0.219348,1.0738,49.6921,0.305033,1.0734,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
88,8,4,61.5875,0.185739,1.0734,25.3658,1.81144,1.0743,37.7468,0.60072,1.075,57.1322,0.220339,1.0738,49.8267,0.303082,1.0734,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
89,8,5,24.3628,2.04857,1.0783,37.6441,0.604946,1.0731,60.6629,0.1922,1.0721,48.751,0.319215,1.0758,0,Inf,Inf,56.5707,0.225393,1.0721,0,Inf,Inf,0,Inf,Inf,0,Inf,Inf
