n,tipoCurto,Raf,Rbf,Rcf,RaTrif,RbTrif,RcTrif,cequa,ccc,cct1,cct2,VA_T2F,VB_T2F,VC_T2F,VA_TRIF,VB_TRIF,VC_TRIF,IA_T2F,IB_T2F,IC_T2F,IA_TRIF,IB_TRIF,IC_TRIF
0.9,3,1000000,1e-05,40,1000000,20,24.25669413,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14377.83722,8903.076509,10888.47971,14653.92615,9175.476365,10992.18533,0.01264621494,54.47926435,54.47017769,1.788137157,54.78640801,53.43188531
0.9,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,8999.574208,10898.16961,14400.43289,9068.392037,10981.17289,14619.8345,53.90377862,53.8957694,0.01195837831,55.39575216,54.01056539,1.757300767
0.9,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77845,14004.53926,13996.82376,13976.16172,0.007975491524,0.007975491972,0.00797550669,1.77685035,2.007095469,1.776820599
0.95,1,1e-05,1e-05,40,13.33,13.33,15.458347,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,8043.6085,8859.8765,9050.383,8961.3412,8828.9195,8891.5201,69.255404,62.671127,59.890742,62.800033,64.025701,63.48824
0.95,2,1e-05,1000000,40,20,1000000,22.12834706,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10934.47512,14364.61495,8973.368927,11135.86337,14588.56839,9216.021303,53.52400294,0.01137944724,53.53120608,51.46798559,2.007030608,53.00958845
0.95,3,1000000,1e-05,40,1000000,20,22.12834706,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,14364.57053,8973.208427,10934.66574,14645.82595,9264.463114,11040.22885,0.01257305342,53.53209721,53.52312103,1.787979243,53.73869907,52.38028237
0.95,4,20,20,1000000,20,20,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,9142.260473,10953.9644,14403.03875,9214.082621,11036.9848,14623.23261,52.50656857,52.49863849,0.01195835642,53.99443843,52.59735594,1.757158626
0.95,5,1000000,1000000,1000000,1000000,1000000,1000000,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,13799.77845,13799.77845,13799.77845,14004.53673,13996.81665,13976.15803,0.007975469265,0.007975469749,0.007975496937,1.776861017,2.007094231,1.776808331
0.999,1,1e-05,1e-05,40,13.33,13.33,13.372567,1.7148392e-07,1.2854762e-07,3.0003154e-07,3.0003154e-07,8233.3581,8942.1973,9109.5759,9114.5717,8933.8787,8980.1588,67.26846,61.538434,59.08486,61.087653,62.749064,62.392395
0.999,2,1e-05,1000000,40,20,1000000,20.04256694,1.714839226e-07,1.285476159e-07,3.000315385e-07,3.000315385e-07,10978.41263,14352.14799,9040.490532,11182.43924,14579.61677,9300.108919,52.62715054,0.01144086932,52.63444025,50.46752365,2.007072069,52.01358257
